sku,nombre,marca,categoria,presentacion,precio_publico_mxn
CD-001,Cubrebocas tricapa desechable,MediSafe,proteccion,caja 50 piezas,89.00
CD-002,Guantes de nitrilo sin polvo talla M,NitriPro,proteccion,caja 100 piezas,199.00
CD-003,Guantes de latex talla G,LatexCare,proteccion,caja 100 piezas,175.00
CD-004,Jeringa desechable 5 ml con aguja,InyectMex,inyectables,pieza,4.50
CD-005,Alcohol etilico 70 grados antiseptico,AsepClin,antisepticos,botella 1 litro,65.00
CD-006,Gasas esteriles 10x10 cm,CuraTex,curacion,paquete 10 piezas,38.00
CD-007,Termometro digital infrarrojo de frente,TempCheck,instrumental,pieza,320.00
CD-008,Abatelenguas de madera,WoodMed,instrumental,caja 500 piezas,95.00
CD-009,Cinta adhesiva micropore 2.5 cm,FixCare,curacion,rollo,22.00
CD-010,Solucion salina fisiologica 0.9 por ciento,SueroVida,soluciones,bolsa 500 ml,42.00
CD-011,Oximetro de pulso de dedo,OxiCheck,instrumental,pieza,410.00
CD-012,Bata desechable para paciente,MediSafe,proteccion,pieza,28.00
CD-013,Venda elastica de compresion 5 cm,FixCare,curacion,rollo,30.00
CD-014,Torundas de algodon,AlgoMed,curacion,bolsa 100 piezas,25.00
